ID_Couple	e1	e2	Expert	Catégories	CombMNZ	Empirique	Régression logistique	Régression par arbres 	Regression Par Clustering
98	27	26	1	5	1	1	0,9176264411	0,9166666667	0,5669588799
99	68	69	1	5	1	1	0,9176264411	0,9166666667	0,6904188073
100	160	162	1	5	1	1	0,9176264411	0,9166666667	0,7266776846
101	114	116	1	5	1	1	0,9176264411	0,9166666667	0,5997433779
102	146	145	1	5	1	1	0,9176264411	0,9166666667	0,5133475677
103	144	146	1	5	0,8164965809	0,8164965809	0,7988836419	0,9166666667	0,5909890288
104	15	16	1	5	1	1	0,9176264411	0,9166666667	0,5730045945
									
									
							Précision	77,27	
							Rappel	83,6	
							F mesure	80,31	
									
							Seuil 	0,6	
